trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
GYD2,07:25:00,07:25:00,G-1427,36,,
GYD2,07:26:00,07:26:00,G-3446,37,,
GYD2,07:27:00,07:27:00,G-3831,38,,
GYD2,07:29:00,07:29:00,CLINIC,39,,
GYD2,07:31:00,07:31:00,BUILDING_16,40,,
GYD2,07:34:00,07:34:00,BUILDING_14,41,,
GYD2,07:36:00,07:36:00,BUILDING_18,42,,
PUD2,07:15:00,07:15:00,TAMIMI,23,,
PUD2,07:17:00,07:17:00,G-3151,24,,
PUD2,07:18:00,07:18:00,G-3170,25,,
PUD2,07:19:00,07:19:00,G-3194,26,,
PUD2,07:20:00,07:20:00,G-3217,27,,
PUD2,07:21:00,07:21:00,G-1026,28,,
PUD2,07:22:00,07:22:00,G-1141,29,,
PUD2,07:23:00,07:23:00,G-1235,30,,
PUD2,07:24:00,07:24:00,GARDENS_SCHO,31,,
PUD2,07:25:00,07:25:00,G-3382,32,,
PUD2,07:26:00,07:26:00,G-3452,33,,
PUD2,07:27:00,07:27:00,G-3175,34,,
PUD2,07:28:00,07:28:00,G-3176,35,,
PUD2,07:29:00,07:29:00,G-3045,36,,
PUD2,07:30:00,07:30:00,G-3106,37,,
PUD2,07:31:00,07:31:00,BUILDING_18_1,38,,
